Ljavax/validation/constraints/NotNull,14
Lorg/apache/spark/annotation/Private,14
Lorg/glassfish/pfl/tf/spi/annotation/InfoMethod,14
Ljavax/persistence/Table,14
Lorg/eclipse/jetty/util/annotation/ManagedOperation,14
Lorg/glassfish/gmbal/ManagedObject,14
Ljavax/enterprise/inject/Alternative,14
Lnet/bytebuddy/asm/Advice$OnMethodExit,13
Lorg/apache/hadoop/metrics2/annotation/Metrics,13
Lorg/springframework/stereotype/Controller,13
Lcom/fasterxml/jackson/annotation/JsonPropertyOrder,13
Lorg/apache/lucene/util/SuppressForbidden,13
Lcom/hazelcast/sql/impl/type/converter/NotConvertible,13
Lcom/mongodb/lang/NonNullApi,13
Lorg/springframework/context/annotation/Primary,13
Lorg/springframework/boot/autoconfigure/AutoConfigureOrder,13
Lorg/infinispan/notifications/Listener,13
Lnet/bytebuddy/asm/Advice$OnMethodEnter,13
Ljakarta/xml/bind/annotation/adapters/XmlJavaTypeAdapter,13
Lorg/jboss/errai/common/client/api/annotations/Property,13
Lorg/springframework/integration/support/management/IntegrationManagedResource,12
Lorg/codehaus/groovy/transform/trait/Traits$Implemented,12
Ljavax/validation/Valid,12
Lnet/shibboleth/utilities/java/support/annotation/constraint/NonNegative,12
Lorg/springframework/boot/context/properties/NestedConfigurationProperty,12
Ljavax/annotation/meta/TypeQualifier,12
Ljavax/xml/bind/annotation/XmlElementRef,12
Lcom/facebook/drift/annotations/ThriftConstructor,12
Lcom/mongodb/annotations/ThreadSafe,12
Lcom/facebook/drift/annotations/ThriftStruct,12
Lorg/apache/poi/util/SuppressForbidden,12
Lorg/apache/tika/config/Field,12
Lorg/apache/commons/digester/annotations/DigesterRule,12
Lcom/sun/xml/ws/api/FeatureConstructor,12
Lorg/jboss/errai/ui/shared/api/annotations/Templated,12
Lcom/fasterxml/jackson/annotation/JsonAutoDetect,12
Lorg/glassfish/gmbal/impl/trace/TraceRegistrationFine,12
Ljavax/ws/rs/DELETE,11
Lio/grpc/ExperimentalApi,11
Ljakarta/inject/Qualifier,11
Lorg/springframework/shell/core/annotation/CliCommand,11
Lcom/google/inject/servlet/RequestScoped,11
Lcom/google/gwt/resources/client/CssResource$ImportedWithPrefix,11
Lcom/github/javaparser/metamodel/InternalProperty,11
Lorg/springframework/boot/actuate/autoconfigure/endpoint/condition/ConditionalOnAvailableEndpoint,11
Lorg/jboss/errai/ui/shared/api/annotations/EventHandler,11
Lorg/aspectj/lang/annotation/Around,11
Lorg/apache/groovy/lang/annotation/Incubating,11
Lcom/esotericsoftware/kryo/util/Null,11
Lorg/apache/axis2/databinding/annotation/IgnoreNullElement,11
Ljavax/xml/ws/WebFault,11
Lcom/google/gwt/core/ext/Generator$RunsLocal,11
Ljavax/ws/rs/POST,11
Lgroovyjarjarpicocli/CommandLine$Parameters,11
Lgroovyjarjarpicocli/CommandLine$Command,11
Lcom/yahoo/api/annotations/PublicApi,11
Lorg/jboss/errai/ioc/client/api/EnabledByProperty,11
Lorg/springframework/boot/actuate/endpoint/annotation/WriteOperation,11
Lcom/google/gwt/uibinder/client/UiHandler,11
Lcom/alibaba/fastjson/annotation/JSONType,11
